Ghost_Name,Algorithm,Search_Time(s),Expanded_Nodes,Memory_Usage(MB),Ghost_Pos_X,Ghost_Pos_Y,Pacman_Pos_X,Pacman_Pos_Y
BlueGhost,BFS,0.016279,231,0.026080,1,1,15,15
BlueGhost,BFS,0.011961,220,0.024896,28,1,15,15
BlueGhost,BFS,0.021451,286,0.029488,1,29,15,15
BlueGhost,BFS,0.013555,218,0.024896,28,29,15,15
BlueGhost,BFS,0.068878,530,0.067112,1,1,28,29
BlueGhost,BFS,0.073754,530,0.067000,28,29,1,1
BlueGhost,BFS,0.073375,530,0.067040,1,29,28,1
BlueGhost,BFS,0.081671,530,0.067000,28,1,1,29
BlueGhost,BFS,0.074444,527,0.065568,15,15,28,29
BlueGhost,BFS,0.070312,514,0.065568,15,15,1,1
BlueGhost,BFS,0.071674,524,0.065568,15,15,28,1
BlueGhost,BFS,0.088091,513,0.065568,15,15,1,29

PinkGhost,DFS,0.054013,343,0.077000,1,1,15,15
PinkGhost,DFS,0.018562,150,0.031352,28,1,15,15
PinkGhost,DFS,0.084319,417,0.072536,1,29,15,15
PinkGhost,DFS,0.012590,149,0.032816,28,29,15,15
PinkGhost,DFS,0.016703,176,0.037960,1,1,28,29
PinkGhost,DFS,0.124215,393,0.084168,28,29,1,1
PinkGhost,DFS,0.033505,235,0.067200,1,29,28,1
PinkGhost,DFS,0.068326,342,0.080856,28,1,1,29
PinkGhost,DFS,0.004445,93,0.026560,15,15,28,29
PinkGhost,DFS,0.044761,297,0.072912,15,15,1,1
PinkGhost,DFS,0.015652,147,0.028216,15,15,28,1
PinkGhost,DFS,0.052062,332,0.072912,15,15,1,29

OrangeGhost,UCS,0.009698,223,0.024056,1,1,15,15
OrangeGhost,UCS,0.012012,233,0.024536,28,1,15,15
OrangeGhost,UCS,0.031853,289,0.028392,1,29,15,15
OrangeGhost,UCS,0.019757,219,0.023872,28,29,15,15
OrangeGhost,UCS,0.082930,526,0.066240,1,1,28,29
OrangeGhost,UCS,0.074998,530,0.066240,28,29,1,1
OrangeGhost,UCS,0.116278,527,0.066328,1,29,28,1
OrangeGhost,UCS,0.083573,527,0.066168,28,1,1,29
OrangeGhost,UCS,0.076907,509,0.064424,15,15,28,29
OrangeGhost,UCS,0.072248,518,0.064520,15,15,1,1
OrangeGhost,UCS,0.074116,515,0.064520,15,15,28,1
OrangeGhost,UCS,0.063995,503,0.064024,15,15,1,29

RedGhost,A*,0.010170,95,0.036104,1,1,15,15
RedGhost,A*,0.001030,29,0.016112,28,1,15,15
RedGhost,A*,0.011004,95,0.035176,1,29,15,15
RedGhost,A*,0.001154,38,0.017400,28,29,15,15
RedGhost,A*,0.084687,339,0.123584,1,1,28,29
RedGhost,A*,0.011945,79,0.035720,28,29,1,1
RedGhost,A*,0.026309,169,0.068144,1,29,28,1
RedGhost,A*,0.004251,75,0.036040,28,1,1,29
RedGhost,A*,0.004846,86,0.034424,15,15,28,29
RedGhost,A*,0.001383,37,0.018640,15,15,1,1
RedGhost,A*,0.004889,79,0.033640,15,15,28,1
RedGhost,A*,0.001070,30,0.016280,15,15,1,29
********************************************************************